committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00647339,JOHN CURTIS FOR UTAH,2025,Q2,202507159762929188,F3,4071520251208390313,17,B-732945,1901797,ORG,ORGANIZATION,,,CAPITOL HILL CLUB,WASHINGTON,DC,20003,,,,,MEAL EXPENSE,TRAVEL,,,,2025-04-16 00:00:00,2544.25,,,,,,,,,,,,,C2030,CONVENTION-2030,CONVENTION,2030,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-08-07 03:36:18,4080620251215571745,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202507159762929188,Operating Expenditures,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,,,S,"",P
C00856526,KENNEDY FOR CONGRESS,2025,Q1,202507159763543802,F3,4071620251208538172,17,500765197,1903416,ORG,ORGANIZATION,,,OSTERIA MORINI,WASHINGTON,DC,200033734,,,,,MEALS,TRAVEL,,,,2025-02-06 00:00:00,80.00,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2025-07-21 03:35:50,4072020251209604120,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202507159763543802,Operating Expenditures,,,,,,,,,,,,,,,,,,H,"",P
C00856526,KENNEDY FOR CONGRESS,2025,Q1,202507159763543762,F3,4071620251208538172,17,500768600,1903416,ORG,ORGANIZATION,,,FAITH AND POLITICS INSTITUTE,WASHINGTON,DC,200025620,,,,,TRAVEL AND MEALS,TRAVEL,,,,2025-02-14 00:00:00,2990.00,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2025-07-21 03:35:50,4072020251209603999,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202507159763543762,Operating Expenditures,,,,,,,,,,,,,,,,,,H,"",P
C00436386,FRIENDS OF JOHN BARRASSO,2025,Q3,202510089790718307,F3,4100820251292705031,17,B6F49DF6EE2414FC9AC1,1918072,ORG,ORGANIZATION,,,RAISING CANES,WASHINGTON,DC,200024214,,,,,STAFF MEALS,TRAVEL,X,,,2025-07-31 00:00:00,331.52,,,,,,,,,,,,,P2030,,PRIMARY,2030,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-11-25 02:36:04,4112420251294725724,,B1575830C75D8491EB92,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202510089790718307,Operating Expenditures,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,,,S,"",P
C00458976,TERRI SEWELL FOR CONGRESS,2025,YE,202606029870360115,F3,4060220261512052025,17,500801772,1980967,ORG,ORGANIZATION,,,NATIONAL DEMOCRATIC CLUB,WASHINGTON,DC,200034006,,,,,"MEMBERSHIP DUES, FOOD AND MEALS",TRAVEL,X,,*,2025-11-03 00:00:00,10.00,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2026-06-23 02:51:39,4062220261522105447,,500800196,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202606029870360115,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00850404,MARK HARRIS FOR CONGRESS,2025,Q1,202504119755209850,F3,4041120251183621027,17,BCFC30D65CB9245FDB32,1885190,ORG,ORGANIZATION,,,THE CAPITOL HILL CLUB,WASHINGTON,DC,200031801,,,,,MEALS/MEETINGS,TRAVEL,,,,2025-01-22 00:00:00,2000.00,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-04-12 03:37:24,4041120251183923799,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202504119755209850,Operating Expenditures,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,,,H,,P
C00789404,GABE VASQUEZ FOR CONGRESS,2025,Q1,202504159755797057,F3,4041520251184156852,17,500325180,1887619,ORG,ORGANIZATION,,,TUNE INN RESTAURANT & BAR,WASHINGTON,DC,200031148,,,,,MEALS,TRAVEL,,,,2025-01-16 00:00:00,40.90,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-04-25 03:36:35,4042420251186628888,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755797057,Operating Expenditures,,,,,,,,,,,,,,,,,,H,"",P
C00558213,DEBBIE DINGELL FOR CONGRESS,2025,Q1,202504159755650503,F3,4041520251184156780,17,501227433,1887514,ORG,ORGANIZATION,,,DOOR DASH,WASHINGTON,DC,200071807,,,,,MEALS WITH SUPPORTERS,TRAVEL,X,,*,2025-01-07 00:00:00,1410.06,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-04-25 03:36:35,4042420251186638483,,501227440,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755650503,Operating Expenditures,,,,,,,,,,,,,,,,,,H,"",P
C00443580,LUMMIS FOR WYOMING INC.,2025,Q2,202510159791358641,F3,4101520251292820003,17,B112B8167370C4316A02,1921002,ORG,ORGANIZATION,,,DUNKIN DONUTS,WASHINGTON,DC,200055601,,,,,OFFICE MEALS,TRAVEL,X,,,2025-05-01 00:00:00,196.13,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2025-12-03 02:35:52,4120220251296594797,,BA18B0D2808304C93A0C,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202510159791358641,Operating Expenditures,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,,,S,,P
C00832576,PATRIOT PAC,2026,M4,202604209866601489,F3X,4042020261436071146,21B,500495754,1970297,ORG,ORGANIZATION,,,REPUBLIC CANTINA,WASHINGTON,DC,200011254,,,,,MEALS,TRAVEL,X,,*,2026-03-24 00:00:00,95.17,,,,,,,,,,,,,O2026,,,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2026-06-21 02:51:28,4052820261511784541,,500493563,SB21B,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202604209866601489,Other Federal Operating Expenditures,,,,,,,,,,,,,,,,,,Q,,D
